time,machine_id,cpu_util
2017-10-05 19:10:00,m16,45.948333333
2017-10-05 19:20:00,m16,49.42
2017-10-05 19:30:00,m16,51.85
2017-10-05 19:40:00,m16,52.525
2017-10-05 19:50:00,m16,52.96
2017-10-05 20:00:00,m16,50.933333333
2017-10-05 20:10:00,m16,50.7
2017-10-05 20:20:00,m16,66.9
2017-10-05 20:30:00,m16,50.466666667
2017-10-05 20:40:00,m16,51.026666667
2017-10-05 20:50:00,m16,48.38
2017-10-05 21:00:00,m16,51.0
2017-10-05 21:10:00,m16,50.741666667
2017-10-05 21:20:00,m16,32.491666667
2017-10-05 21:30:00,m16,50.523333333
2017-10-05 21:40:00,m16,49.558333333
2017-10-05 21:50:00,m16,50.346666667
2017-10-05 22:00:00,m16,50.186666667
2017-10-05 22:10:00,m16,31.45
2017-10-05 22:20:00,m16,30.165
2017-10-05 22:30:00,m16,34.99
2017-10-05 22:40:00,m16,50.88
2017-10-05 22:50:00,m16,50.3975
2017-10-05 23:00:00,m16,50.853333333
2017-10-05 23:10:00,m16,50.625
2017-10-05 23:20:00,m16,48.913333333
2017-10-05 23:30:00,m16,51.18
2017-10-05 23:40:00,m16,33.4
2017-10-05 23:50:00,m16,50.8
2017-10-06 00:00:00,m16,31.306666667
2017-10-06 00:10:00,m16,50.491666667
2017-10-06 00:20:00,m16,47.78
2017-10-06 00:30:00,m16,50.663333333
2017-10-06 00:40:00,m16,50.933333333
2017-10-06 00:50:00,m16,34.445
2017-10-06 01:00:00,m16,33.091666667
2017-10-06 01:10:00,m16,32.95
2017-10-06 01:20:00,m16,43.89
2017-10-06 01:30:00,m16,50.24
2017-10-06 01:40:00,m16,50.563333333
2017-10-06 01:50:00,m16,50.6
2017-10-06 02:00:00,m16,47.933333333
2017-10-06 02:10:00,m16,50.24
2017-10-06 02:20:00,m16,50.746666667
2017-10-06 02:30:00,m16,50.348333333
2017-10-06 02:40:00,m16,40.54
2017-10-06 02:50:00,m16,50.6
2017-10-06 03:00:00,m16,50.7
2017-10-06 03:10:00,m16,48.393333333
2017-10-06 03:20:00,m16,31.133333333
2017-10-06 03:30:00,m16,33.406666667
2017-10-06 03:40:00,m16,34.095
2017-10-06 03:50:00,m16,34.283333333
2017-10-06 04:00:00,m16,50.293333333
2017-10-06 04:10:00,m16,49.9
2017-10-06 04:20:00,m16,33.08
2017-10-06 04:30:00,m16,50.8
2017-10-06 04:40:00,m16,32.979166667
2017-10-06 04:50:00,m16,32.133333333
2017-10-06 05:00:00,m16,33.718333333
2017-10-06 05:10:00,m16,49.013333333
2017-10-06 05:20:00,m16,34.64
2017-10-06 05:30:00,m16,32.166666667
2017-10-06 05:40:00,m16,34.108333333
2017-10-06 05:50:00,m16,40.475
2017-10-06 06:00:00,m16,50.575
2017-10-06 06:10:00,m16,50.4
2017-10-06 06:20:00,m16,47.54
2017-10-06 06:30:00,m16,50.221666667
2017-10-06 06:40:00,m16,50.4
2017-10-06 06:50:00,m16,42.673333333
2017-10-06 07:00:00,m16,41.89
2017-10-06 07:10:00,m16,33.848333333
2017-10-06 07:20:00,m16,51.1
2017-10-06 07:30:00,m16,35.0
2017-10-06 07:40:00,m16,44.668333333
2017-10-06 07:50:00,m16,50.7
2017-10-06 08:00:00,m16,50.62
2017-10-06 08:10:00,m16,50.65
2017-10-06 08:20:00,m16,34.126666667
2017-10-06 08:30:00,m16,50.22
2017-10-06 08:40:00,m16,34.92
2017-10-06 08:50:00,m16,50.8
2017-10-06 09:00:00,m16,44.403333333
2017-10-06 09:10:00,m16,49.7
2017-10-06 09:20:00,m16,50.8
2017-10-06 09:30:00,m16,34.726666667
2017-10-06 09:40:00,m16,33.96
2017-10-06 09:50:00,m16,34.07
2017-10-06 10:00:00,m16,40.92
2017-10-06 10:10:00,m16,50.085
2017-10-06 10:20:00,m16,50.346666667
2017-10-06 10:30:00,m16,50.3
2017-10-06 10:40:00,m16,50.7
2017-10-06 10:50:00,m16,34.766666667
